Date,Time,Milliseconds,Treating Pressure,BH Pressure(meas)
2019-11-16,06:03:56,000,7280.169921875,11027.3203125
2019-11-16,06:03:57,000,7279.240234375,11019.919921875
2019-11-16,06:03:58,000,7286.35986328125,11022.58984375
2019-11-16,06:03:59,000,7320.4599609375,11037.51953125
2019-11-16,06:04:00,000,7290.3798828125,11070.6201171875
2019-11-16,06:04:01,000,7286.97998046875,11049.1298828125
2019-11-16,06:04:02,000,7271.16015625,11052.3798828125
2019-11-16,06:04:03,000,7282.83984375,11047.0595703125
2019-11-16,06:04:04,000,7255.83984375,11061.0595703125
2019-11-16,06:04:05,000,7244.990234375,11040.98046875
2019-11-16,06:04:06,000,7240.56005859375,11034.23046875
2019-11-16,06:04:07,000,7260.2900390625,11033.9296875
2019-11-16,06:04:08,000,7243.58984375,11049.5595703125
2019-11-16,06:04:09,000,7195.10986328125,11027.6396484375
2019-11-16,06:04:10,000,7193.31005859375,10981.66015625
2019-11-16,06:04:11,000,7197.77001953125,10977.3896484375
2019-11-16,06:04:12,000,7220.4599609375,10982.2998046875
2019-11-16,06:04:13,000,7180.330078125,10999.3798828125
2019-11-16,06:04:14,000,7188.58984375,10964.5498046875
2019-11-16,06:04:15,000,7198.7099609375,10973.759765625
2019-11-16,06:04:16,000,7221.10986328125,10987.3896484375
2019-11-16,06:04:17,000,7198.33984375,11008.3798828125
2019-11-16,06:04:18,000,7172.39013671875,10988.8095703125
2019-11-16,06:04:19,000,7176.39013671875,10968.75
2019-11-16,06:04:20,000,7180.6201171875,10975.759765625
2019-11-16,06:04:21,000,7161.0498046875,10980.73046875
2019-11-16,06:04:22,000,7145.85009765625,10963.580078125
2019-11-16,06:04:23,000,7165.4599609375,10953.25
2019-11-16,06:04:24,000,7187.9501953125,10973.2900390625
2019-11-16,06:04:25,000,7169.06005859375,10990.0703125
2019-11-16,06:04:26,000,7160.18994140625,10971.76953125
2019-11-16,06:04:27,000,7150.83984375,10962.169921875
2019-11-16,06:04:28,000,7185.72998046875,10955.580078125
2019-11-16,06:04:29,000,7175.89990234375,10984.330078125
2019-11-16,06:04:30,000,7165.5498046875,10973.6796875
